event_no,club,category,event,round,heat,overall,order,reg_no,fullname,best,value,result,members,summary
1,Tipperary,Senior Women,100m Hurdles (0.838m),*,1,1,1,140_1-,Laura Frawley,15.11,15.106,Gold,,Senior Women 100m Hurdles (0.838m): 1. Laura Frawley (15.11) GOLD
1,East Cork Athletics Division,Senior Women,100m Hurdles (0.838m),*,1,2,2,142_1-,Orla Coffey,17.23,17.229,Silver,,Senior Women 100m Hurdles (0.838m): 2. Orla Coffey (17.23) SILVER
1,Galway,Senior Women,100m Hurdles (0.838m),*,1,3,3,139_1-,Orlaith Mannion,18.12,18.113,Bronze,,Senior Women 100m Hurdles (0.838m): 3. Orlaith Mannion (18.12) BRONZE
1,Sligo,Senior Women,100m Hurdles (0.838m),*,1,4,4,144_1-,Mila Clancy,18.31,18.309,,,Senior Women 100m Hurdles (0.838m): 4. Mila Clancy (18.31) 
1,Kerry,Senior Women,100m Hurdles (0.838m),*,1,5,5,141_1-,Maddie O'Riordan,19.43,19.423,,,Senior Women 100m Hurdles (0.838m): 5. Maddie O'Riordan (19.43) 
1,Louth,Senior Women,100m Hurdles (0.838m),*,1,6,6,143_1-,Sophie Kinsella,19.45,19.448,,,Senior Women 100m Hurdles (0.838m): 6. Sophie Kinsella (19.45) 
2,Donore Harriers,Senior Women,100m Hurdles (0.838m),*,1,1,1,181_2-,Lara O Byrne,14.76,14.752,Gold,,Senior Women 100m Hurdles (0.838m): 1. Lara O Byrne (14.76) GOLD
2,Ratoath AC,Senior Women,100m Hurdles (0.838m),*,1,2,2,178_2-,Caoimhe Fitzsimons,15.22,15.213,Silver,,Senior Women 100m Hurdles (0.838m): 2. Caoimhe Fitzsimons (15.22) SILVER
2,Leevale AC,Senior Women,100m Hurdles (0.838m),*,1,3,3,180_2-,Ellie Vaughan-Redden,15.58,15.571,Bronze,,Senior Women 100m Hurdles (0.838m): 3. Ellie Vaughan-Redden (15.58) BRONZE
2,Dundrum South Dublin AC,Senior Women,100m Hurdles (0.838m),*,1,4,4,175_2-,Kate  Doherty,15.80,15.792,,,Senior Women 100m Hurdles (0.838m): 4. Kate  Doherty (15.80) 
2,St Laurence O Toole AC,Senior Women,100m Hurdles (0.838m),*,1,5,5,176_2-,Emily Lawlor,16.64,16.635,,,Senior Women 100m Hurdles (0.838m): 5. Emily Lawlor (16.64) 
2,Clonliffe Harriers,Senior Women,100m Hurdles (0.838m),*,1,6,6,177_2-,Snezana Bechtina,20.84,20.835,,,Senior Women 100m Hurdles (0.838m): 6. Snezana Bechtina (20.84) 
2,Raheny Shamrock,Senior Women,100m Hurdles (0.838m),*,1,0,0,182_2-,Tbc Raheny Shamrock,DNS,-3,,,Senior Women 100m Hurdles (0.838m): 0. Tbc Raheny Shamrock (DNS) 
2,Lagan Valley AC,Senior Women,100m Hurdles (0.838m),*,1,0,0,179_2-,Lyndsey Glover,DNS,-3,,,Senior Women 100m Hurdles (0.838m): 0. Lyndsey Glover (DNS) 
4,Donegal,Senior Men,110m Hurdles (1.067m),*,1,1,1,146_4-,Finn  O Neill,16.25,16.245,Gold,,Senior Men 110m Hurdles (1.067m): 1. Finn  O Neill (16.25) GOLD
4,Kerry,Senior Men,110m Hurdles (1.067m),*,1,2,2,147_4-,Ger Cremin,17.78,17.779,Silver,,Senior Men 110m Hurdles (1.067m): 2. Ger Cremin (17.78) SILVER
4,Galway,Senior Men,110m Hurdles (1.067m),*,1,3,3,145_4-,Oisin Phelan,20.37,20.369,Bronze,,Senior Men 110m Hurdles (1.067m): 3. Oisin Phelan (20.37) BRONZE
4,East Cork Athletics Division,Senior Men,110m Hurdles (1.067m),*,1,4,4,149_4-,Aidan Maher,20.84,20.832,,,Senior Men 110m Hurdles (1.067m): 4. Aidan Maher (20.84) 
4,Sligo,Senior Men,110m Hurdles (1.067m),*,1,0,0,148_4-,Tbc Sligo,DNS,-3,,,Senior Men 110m Hurdles (1.067m): 0. Tbc Sligo (DNS) 
4,Meath ,Senior Men,110m Hurdles (1.067m),*,1,0,0,150_4-,Psalm Ogundoju,DNS,-3,,,Senior Men 110m Hurdles (1.067m): 0. Psalm Ogundoju (DNS) 
5,Dundrum South Dublin AC,Senior Men,110m Hurdles (1.067m),*,1,1,1,175_5-,Daniel  Conway,15.87,15.866,Gold,,Senior Men 110m Hurdles (1.067m): 1. Daniel  Conway (15.87) GOLD
5,Clonliffe Harriers,Senior Men,110m Hurdles (1.067m),*,1,2,2,189_5-,James Lynch,15.92,15.914,Silver,,Senior Men 110m Hurdles (1.067m): 2. James Lynch (15.92) SILVER
5,Donore Harriers ,Senior Men,110m Hurdles (1.067m),*,1,3,3,198_5-,Michael Mccarthy Snr,20.06,20.06,Bronze,,Senior Men 110m Hurdles (1.067m): 3. Michael Mccarthy Snr (20.06) BRONZE
5,Nenagh Olympic AC,Senior Men,110m Hurdles (1.067m),*,1,4,4,195_5-,Aaron Malik,22.43,22.424,,,Senior Men 110m Hurdles (1.067m): 4. Aaron Malik (22.43) 
5,St Abbans AC,Senior Men,110m Hurdles (1.067m),*,1,0,0,196_5-,Peter  Condron,DNS,-3,,,Senior Men 110m Hurdles (1.067m): 0. Peter  Condron (DNS) 
5,Lagan Valley AC,Senior Men,110m Hurdles (1.067m),*,1,0,0,199_5-,Jack Mccausland,DNF,-2,,,Senior Men 110m Hurdles (1.067m): 0. Jack Mccausland (DNF) 
5,Ratoath AC,Senior Men,110m Hurdles (1.067m),*,1,0,0,197_5-,Stephen Kiernan,DNF,-2,,,Senior Men 110m Hurdles (1.067m): 0. Stephen Kiernan (DNF) 
5,Leevale AC,Senior Men,110m Hurdles (1.067m),*,1,0,0,190_5-,Tbc Leevale Ac,DNS,-3,,,Senior Men 110m Hurdles (1.067m): 0. Tbc Leevale Ac (DNS) 
7,Kerry,Senior Women,1500m Walk,*,1,1,1,141_7-,Éabha De Faoite,6:41.19,401.181,Gold,,Senior Women 1500m Walk: 1. Éabha De Faoite (6:41.19) GOLD
7,Galway,Senior Women,1500m Walk,*,1,2,2,139_7-,Holly Shaughnessy,7:14.29,434.283,Silver,,Senior Women 1500m Walk: 2. Holly Shaughnessy (7:14.29) SILVER
